1992-W-SL-FRA-01A-1992,French Open,Clay,128,25272
1992-W-SL-GBR-01A-1992,Wimbledon,Grass,128,25477
1992-W-SL-USA-01A-1992,US Open,Hard,128,25395
1993-W-SL-AUS-01A-1993,Australian Open,Hard,128,25232
1993-W-SL-FRA-01A-1993,French Open,Clay,128,25273
1993-W-SL-GBR-01A-1993,Wimbledon,Grass,128,25478
1993-W-SL-USA-01A-1993,US Open,Hard,128,25396
1994-W-SL-AUS-01A-1994,Australian Open,Hard,128,25233
1994-W-SL-FRA-01A-1994,French Open,Clay,128,25274
1994-W-SL-GBR-01A-1994,Wimbledon,Grass,128,25479
1994-W-SL-USA-01A-1994,US Open,Hard,128,25397
1995-W-SL-AUS-01A-1995,Australian Open,Hard,128,25234
1995-W-SL-FRA-01A-1995,French Open,Clay,128,25275
1995-W-SL-GBR-01A-1995,Wimbledon,Grass,128,25480
1995-W-SL-USA-01A-1995,US Open,Hard,128,25398
1996-W-SL-AUS-01A-1996,Australian Open,Hard,128,25235
1996-W-SL-FRA-01A-1996,French Open,Clay,128,25276
1996-W-SL-GBR-01A-1996,Wimbledon,Grass,128,25481
1996-W-SL-USA-01A-1996,US Open,Hard,128,25399
1997-W-SL-AUS-01A-1997,Australian Open,Hard,128,25236
1997-W-SL-FRA-01A-1997,French Open,Clay,128,25277
1997-W-SL-GBR-01A-1997,Wimbledon,Grass,128,25482
1997-W-SL-USA-01A-1997,US Open,Hard,128,25400
1998-W-SL-AUS-01A-1998,Australian Open,Hard,128,25237
1998-W-SL-FRA-01A-1998,French Open,Clay,128,25278
1998-W-SL-GBR-01A-1998,Wimbledon,Grass,128,25483
1998-W-SL-USA-01A-1998,US Open,Hard,128,25401
1999-W-SL-AUS-01A-1999,Australian Open,Hard,128,25238
1999-W-SL-FRA-01A-1999,French Open,Clay,128,25279
1999-W-SL-GBR-01A-1999,Wimbledon,Grass,128,25484
1999-W-SL-USA-01A-1999,US Open,Hard,128,25402
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,25239
2000-W-SL-FRA-01A-2000,French Open,Clay,128,25280
2000-W-SL-GBR-01A-2000,Wimbledon,Grass,128,25485
2000-W-SL-USA-01A-2000,US Open,Hard,128,25403
2001-W-SL-AUS-01A-2001,Australian Open,Hard,128,25240
2001-W-SL-FRA-01A-2001,French Open,Clay,128,25281
2001-W-SL-GBR-01A-2001,Wimbledon,Grass,128,25486
2001-W-SL-USA-01A-2001,US Open,Hard,128,25404
2002-W-SL-AUS-01A-2002,Australian Open,Hard,128,25241
2002-W-SL-FRA-01A-2002,French Open,Clay,128,25282
2002-W-SL-GBR-01A-2002,Wimbledon,Grass,128,25487
2002-W-SL-USA-01A-2002,US Open,Hard,128,25405
2003-W-SL-FRA-01A-2003,French Open,Clay,128,25283
2003-W-SL-GBR-01A-2003,Wimbledon,Grass,128,25488
2003-W-SL-USA-01A-2003,US Open,Hard,128,25406
2003-W-SL-AUS-01A-2003,Australian Open,Hard,128,25242
2004-W-SL-AUS-01A-2004,Australian Open,Hard,128,25243
2004-W-SL-FRA-01A-2004,French Open,Clay,128,25284
2004-W-SL-GBR-01A-2004,Wimbledon,Grass,128,25489
2004-W-SL-USA-01A-2004,US Open,Hard,128,25407
2005-W-SL-AUS-01A-2005,Australian Open,Hard,128,25244
2005-W-SL-FRA-01A-2005,French Open,Clay,128,25285
