1971-605,Masters,Carpet,7,M,19711204,021,100126,,,Stan Smith,R,193,USA,24.9719370294,,,100128,,,Cliff Richey,R,175,USA,24.9253935661,,,4-6 6-3 9-7,3,RR,,,,,,,,,,,,,,,,,,,
1972-605,Masters,Carpet,8,M,19721128,001,100119,,,Ilie Nastase,R,183,ROU,26.3627652293,,,100127,,,Tom Gorman,R,180,USA,25.9438740589,,,6-2 6-3,3,RR,,,,,,,,,,,,,,,,,,,
1972-605,Masters,Carpet,8,M,19721128,002,100119,,,Ilie Nastase,R,183,ROU,26.3627652293,,,100040,,,Bob Hewitt,R,190,RSA,32.8788501027,,,6-4 6-4,3,RR,,,,,,,,,,,,,,,,,,,
1972-605,Masters,Carpet,8,M,19721128,003,100119,,,Ilie Nastase,R,183,ROU,26.3627652293,,,100174,,,Manuel Orantes,L,178,ESP,23.8083504449,,,6-3 6-4,3,RR,,,,,,,,,,,,,,,,,,,
1972-605,Masters,Carpet,8,M,19721128,004,100119,,,Ilie Nastase,R,183,ROU,26.3627652293,,,100284,,,Jimmy Connors,L,178,USA,20.2381930185,,,6-2 6-3 6-2,5,SF,,,,,,,,,,,,,,,,,,,
1972-605,Masters,Carpet,8,M,19721128,005,100119,,,Ilie Nastase,R,183,ROU,26.3627652293,,,100126,,,Stan Smith,R,193,USA,25.9575633128,,,6-3 6-2 3-6 2-6 6-3,5,F,,,,,,,,,,,,,,,,,,,
1972-605,Masters,Carpet,8,M,19721128,006,100127,,,Tom Gorman,R,180,USA,25.9438740589,,,100040,,,Bob Hewitt,R,190,RSA,32.8788501027,,,6-4 6-2,3,RR,,,,,,,,,,,,,,,,,,,
1972-605,Masters,Carpet,8,M,19721128,007,100127,,,Tom Gorman,R,180,USA,25.9438740589,,,100174,,,Manuel Orantes,L,178,ESP,23.8083504449,,,6-3 6-4,3,RR,,,,,,,,,,,,,,,,,,,
1972-605,Masters,Carpet,8,M,19721128,008,100126,,,Stan Smith,R,193,USA,25.9575633128,,,100127,,,Tom Gorman,R,180,USA,25.9438740589,,,6-7 7-6 5-7 4-5 RET,3,SF,,,,,,,,,,,,,,,,,,,
1972-605,Masters,Carpet,8,M,19721128,009,100174,,,Manuel Orantes,L,178,ESP,23.8083504449,,,100040,,,Bob Hewitt,R,190,RSA,32.8788501027,,,6-3 6-3,3,RR,,,,,,,,,,,,,,,,,,,
1972-605,Masters,Carpet,8,M,19721128,010,100126,,,Stan Smith,R,193,USA,25.9575633128,,,100284,,,Jimmy Connors,L,178,USA,20.2381930185,,,3-6 6-2 7-5,3,RR,,,,,,,,,,,,,,,,,,,
1972-605,Masters,Carpet,8,M,19721128,011,100126,,,Stan Smith,R,193,USA,25.9575633128,,,100026,,,Andres Gimeno,R,185,ESP,35.3210130048,,,6-2 3-6 6-3,3,RR,,,,,,,,,,,,,,,,,,,
1972-605,Masters,Carpet,8,M,19721128,012,100126,,,Stan Smith,R,193,USA,25.9575633128,,,100113,,,Jan Kodes,R,175,CZE,26.7460643395,,,6-1 6-0,3,RR,,,,,,,,,,,,,,,,,,,
1972-605,Masters,Carpet,8,M,19721128,013,100284,,,Jimmy Connors,L,178,USA,20.2381930185,,,100026,,,Andres Gimeno,R,185,ESP,35.3210130048,,,6-3 6-7 6-2,3,RR,,,,,,,,,,,,,,,,,,,
1972-605,Masters,Carpet,8,M,19721128,014,100284,,,Jimmy Connors,L,178,USA,20.2381930185,,,100113,,,Jan Kodes,R,175,CZE,26.7460643395,,,6-4 6-3,3,RR,,,,,,,,,,,,,,,,,,,
1972-605,Masters,Carpet,8,M,19721128,015,100113,,,Jan Kodes,R,175,CZE,26.7460643395,,,100026,,,Andres Gimeno,R,185,ESP,35.3210130048,,,6-3 6-2,3,RR,,,,,,,,,,,,,,,,,,,
1973-605,Masters,Carpet,8,M,19731204,001,100127,,,Tom Gorman,R,180,USA,26.9596167009,11,0,100119,,,Ilie Nastase,R,183,ROU,27.3785078713,1,0,6-4 6-1,3,RR,,,,,,,,,,,,,,,,,,,
